"id";"nazev";"mista_prac";"mista_sluz";"predstaveny";"id_ext";"urad_zkratka";"urad_nazev";"zkratka";"urad_skupina";"label";"analyticky";"nazev_lower";"categ";"color";"mista_celkem";"dpth";"child_ftes"
"11000002";"Úřad vlády ČR";"0";"0";NA;"1";"ÚV ČR";"Úřad vlády ČR";"ÚV ČR";"Ministerstva a ÚV";"Úřad vlády ČR";FALSE;"úřad vlády čr";"ostatní";"none";"0";"2";"472"
"12003059";"Oddělení interního auditu";"0";"3";"true";"100310";"ÚV ČR";"Úřad vlády ČR";"OIA";NA;"Oddělení interního auditu";FALSE;"oddělení interního auditu";"ostatní";"none";"3";"3";"3"
"12003104";"Oddělení vnitřní bezpečnosti";"0";"8";"true";"220330";"ÚV ČR";"Úřad vlády ČR";"OVB";NA;"Oddělení vnitřní bezpečnosti";FALSE;"oddělení vnitřní bezpečnosti";"ostatní";"none";"8";"3";"8"
"12012227";"Sekce pro právo a ekonomiku";"3";"1";"true";"120000";"ÚV ČR";"Úřad vlády ČR";"SPE";NA;"Sekce pro právo a ekonomiku";FALSE;"sekce pro právo a ekonomiku";"ostatní";"none";"4";"3";"56"
"12012228";"Ministr pro legislativu a předseda LRV";"0";"0";NA;"300000";"ÚV ČR";"Úřad vlády ČR";"MLRV";NA;"Ministr pro legislativu a předseda LRV";FALSE;"ministr pro legislativu a předseda lrv";"ostatní";"none";"0";"3";"79"
"12012281";"Ministr pro evropské záležitosti";"0";"0";NA;"700000";"ÚV ČR";"Úřad vlády ČR";"MEZ";NA;"Ministr pro evropské záležitosti";FALSE;"ministr pro evropské záležitosti";"ostatní";"none";"0";"3";"12"
"12012287";"Místopředseda vlády pro digitalizaci";"0";"0";NA;"800000";"ÚV ČR";"Úřad vlády ČR";"MDG";NA;"Místopředseda vlády pro digitalizaci";FALSE;"místopředseda vlády pro digitalizaci";"ostatní";"none";"0";"3";"23"
"12011241";"Odd. Sekretariátu vedoucího ÚV ČR";"4";"0";NA;"100040";"ÚV ČR";"Úřad vlády ČR";"SVÚ";NA;"Odd. Sekretariátu vedoucího ÚV ČR";FALSE;"odd. sekretariátu vedoucího úv čr";"ostatní";"none";"4";"3";"4"
"12012443";"Oddělení strategické komunikace";"3";"0";NA;"270200";"ÚV ČR";"Úřad vlády ČR";"STR";NA;"Oddělení strategické komunikace";FALSE;"oddělení strategické komunikace";"Strategie, politiky, koncepce";"#CD0000";"3";"3";"3"
"12003084";"Sekce státního tajemníka";"1";"2";"true";"130000";"ÚV ČR";"Úřad vlády ČR";"STA";NA;"Sekce státního tajemníka";FALSE;"sekce státního tajemníka";"ostatní";"none";"3";"3";"42"
"12003153";"Ministryně pro VVI";"0";"0";NA;"500000";"ÚV ČR";"Úřad vlády ČR";"MVVI";NA;"Ministryně pro VVI";FALSE;"ministryně pro vvi";"ostatní";"none";"0";"3";"40"
"12003134";"Odbor rovnosti žen a mužů";"2";"0";"true";"240300";"ÚV ČR";"Úřad vlády ČR";"RRP";NA;"Odbor rovnosti žen a mužů";FALSE;"odbor rovnosti žen a mužů";"ostatní";"none";"2";"3";"10"
"12003123";"Odbor lidských práv a ochrany menšin";"1";"0";"true";"240100";"ÚV ČR";"Úřad vlády ČR";"OLP";NA;"Odbor lidských práv a ochrany menšin";FALSE;"odbor lidských práv a ochrany menšin";"ostatní";"none";"1";"3";"18"
"12011403";"Odbor majetku a služeb";"2";"1";"true";"110800";"ÚV ČR";"Úřad vlády ČR";"OMS";NA;"Odbor majetku a služeb";FALSE;"odbor majetku a služeb";"ostatní";"none";"3";"3";"60"
"12003088";"Předseda vlády";"1";"0";NA;"200000";"ÚV ČR";"Úřad vlády ČR";"KPV";NA;"Předseda vlády";FALSE;"předseda vlády";"ostatní";"none";"1";"3";"99"
